min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,flow_duration,Processing_time
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,262,245,16.5,77,102,93.67,14.43,281,1799.661,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,464,185.17,156.72,1111,0.412,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,496,185.67,165.43,1114,0.41,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,465,185.33,157.08,1112,0.41,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,497,185.83,165.81,1115,0.41,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,646,202,248.21,1010,0.396,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,329,279,32.59,77,102,100.08,6.93,1301,4199.353,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.411,2021-12-14T15:59:11.583+09:00
229,262,245,13.13,77,102,97,11.18,485,1498.911,2021-12-14T15:59:11.583+09:00
229,321,275,30.18,77,102,99.92,7.22,1199,4499.745,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,237,233,5.66,77,102,89.5,17.68,179,299.609,2021-12-14T15:59:11.583+09:00
229,355,285,56.06,89,493,172,153.98,1204,490199.023,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,491,184.83,163.56,1109,0.411,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,464,185.17,156.72,1111,0.411,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,490,184.67,163.18,1108,0.409,2021-12-14T15:59:11.583+09:00
237,245,241,5.66,102,102,102,0,204,600,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,373,301,63.15,89,465,185.33,157.08,1112,0.406,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,464,185.17,156.72,1111,0.466,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
