min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,flow_duration,Processing_time
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,495,185.5,165.06,1113,0.376,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.191,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,467,185.33,157.54,1112,0.376,2021-12-20T15:43:32.983+09:00
501,502,501,0.5,89,1095,284.64,331,3131,722411.023,2021-12-20T15:43:32.983+09:00
501,502,502,0.58,89,93,92,2,368,54611.173,2021-12-20T15:43:32.983+09:00
501,502,501,0.4,77,102,96.91,8.19,1066,245839.449,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,495,185.5,165.06,1113,0.377,2021-12-20T15:43:32.983+09:00
501,502,502,0.71,77,102,89.5,17.68,179,299.343,2021-12-20T15:43:32.983+09:00
501,502,501,0.35,77,102,98.88,8.84,791,3299.647,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,77,102,97.83,10.21,587,2099.748,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,468,185.5,157.9,1113,0.376,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.193,2021-12-20T15:43:32.983+09:00
501,502,501,0.45,89,560,184.8,209.75,924,0.37,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
502,502,502,0,77,77,77,0,77,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,502,0.55,89,648,203.2,248.66,1016,380982.006,2021-12-20T15:43:32.983+09:00
501,502,501,0.49,89,494,172.14,154.33,1205,435600.221,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,495,185.5,165.06,1113,0.377,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,649,371,393.15,742,495017.201,2021-12-20T15:43:32.983+09:00
501,502,501,0.49,89,497,172.57,155.37,1208,54623.879,2021-12-20T15:43:32.983+09:00
501,502,501,0.52,89,647,184,226.83,1104,54600.761,2021-12-20T15:43:32.983+09:00
501,502,502,0.58,89,645,230,276.67,920,667785.939,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,497,185.83,165.81,1115,0.377,2021-12-20T15:43:32.983+09:00
501,502,502,0.58,89,93,92,2,368,435607.962,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.193,2021-12-20T15:43:32.983+09:00
501,501,501,0,102,102,102,0,102,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,649,649,649,0,649,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,497,185.83,165.81,1115,0.377,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
