min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
1227,1374,1339.66,29.12,107173,2020-12-01T03:05:43.018+09:00
1223,1374,1342.23,33.98,107378,2020-12-01T07:05:33.985+09:00
1239,1374,1340.4,29.05,107232,2020-12-01T10:05:31.000+09:00
1239,1374,1334.93,37.67,106794,2020-12-01T12:05:36.401+09:00
1241,1374,1340.08,29.11,107206,2020-12-01T15:05:45.524+09:00
1231,1373,1335.76,33.76,106861,2020-12-01T17:05:26.321+09:00
1249,1374,1339.46,28.89,107157,2020-12-01T20:05:32.500+09:00
1222,1374,1342.63,28.42,107410,2020-12-01T21:05:23.711+09:00
1227,1374,1336.8,34.67,106944,2020-12-02T03:05:38.749+09:00
1240,1373,1340.61,29.79,107249,2020-12-02T06:05:45.554+09:00
1222,1374,1344.33,31.25,107546,2020-12-02T10:05:19.301+09:00
1222,1374,1340.15,31.45,107212,2020-12-02T13:05:45.761+09:00
1233,1374,1341.74,29.56,107339,2020-12-03T00:05:25.423+09:00
1225,1374,1340.18,34.33,107214,2020-12-03T08:05:24.244+09:00
1225,1374,1342.54,28.57,107403,2020-12-03T10:05:23.718+09:00
1229,1374,1344.2,31.56,107536,2020-12-03T11:05:45.372+09:00
1218,1374,1342.79,26.59,107423,2020-12-03T13:05:26.574+09:00
1222,1374,1340.23,31.15,107218,2020-12-03T20:05:43.521+09:00
1220,1374,1338.11,33.06,107049,2020-12-03T23:05:20.853+09:00
1225,1374,1338.64,29.23,107091,2020-12-04T01:05:32.237+09:00
1249,1374,1342.33,28.13,107386,2020-12-04T04:05:42.401+09:00
1243,1374,1341.05,30.33,107284,2020-12-04T06:05:21.122+09:00
1222,1374,1339.15,36.3,107132,2020-12-04T08:05:34.097+09:00
1238,1373,1334.04,31.63,106723,2020-12-04T09:05:22.160+09:00
1230,1372,1343.6,26.06,107488,2020-12-04T10:05:46.666+09:00
1243,1373,1337.59,30.45,107007,2020-12-04T12:05:37.065+09:00
