src_host_port,dest_host_port,protocol,protocol_count,min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,flow_duration,Processing_time
39846,9092,6,183,2438,2439,2439,0.07,161,11888,2788.26,2591.23,510252,170.018,2020-12-01T00:05:24.998+09:00
39846,9092,6,396,2438,2439,2439,0.11,63,11856,2228.37,2094.46,882435,290.016,2020-12-01T00:10:44.861+09:00
39846,9092,6,395,2438,2439,2439,0.13,102,13084,2209.62,2321.09,872801,290.017,2020-12-01T00:15:33.979+09:00
39846,9092,6,459,2438,2439,2439,0.09,61,11550,1989.66,1919.81,913254,290.017,2020-12-01T00:25:41.464+09:00
39846,9092,6,456,2438,2439,2439,0.09,87,11544,1981.21,1909.48,903430,290.011,2020-12-01T00:35:18.114+09:00
39846,9092,6,419,2438,2439,2439,0.12,101,11833,2132.04,2047.08,893325,290.015,2020-12-01T00:40:37.788+09:00
39846,9092,6,394,2438,2439,2439,0.1,62,11636,2219.36,2316.9,874426,290.016,2020-12-01T00:45:26.870+09:00
39846,9092,6,407,2438,2439,2439,0.07,68,12145,2171.46,2146.85,883786,290.019,2020-12-01T00:50:46.760+09:00
39846,9092,6,369,2437,2439,2439,0.16,81,11219,2378.98,2334.73,877845,290.016,2020-12-01T00:55:36.656+09:00
39846,9092,6,432,2438,2439,2439,0.12,61,11654,2068.66,2064.67,893662,290.016,2020-12-01T01:00:26.560+09:00
39846,9092,6,250,2438,2439,2439,0.06,109,11820,2123.9,2159.6,530975,170.016,2020-12-01T01:05:46.009+09:00
39846,9092,6,443,2438,2439,2439,0.07,61,13084,2019.68,1953.03,894718,290.011,2020-12-01T01:10:35.474+09:00
39846,9092,6,444,2431,2439,2439,0.39,61,11170,2021.7,2078.61,897635,290.02,2020-12-01T01:15:24.138+09:00
39846,9092,6,385,2438,2439,2439,0.12,61,13084,2266.59,2369.17,872637,290.016,2020-12-01T01:20:43.389+09:00
39846,9092,6,366,2438,2439,2439,0.12,69,11946,2380.58,2424.63,871291,290.015,2020-12-01T01:25:32.788+09:00
39846,9092,6,411,2438,2439,2439,0.05,65,13084,2169.95,2316.78,891849,290.02,2020-12-01T01:30:21.957+09:00
39846,9092,6,388,2438,2439,2439,0.11,61,11950,2284.33,2355.26,886319,290.016,2020-12-01T01:35:41.435+09:00
39846,9092,6,415,2438,2439,2439,0.11,64,13084,2136.98,2187.06,886845,290.015,2020-12-01T01:40:31.173+09:00
39846,9092,6,354,2438,2439,2439,0.15,102,11849,2454.15,2481.53,868769,290.017,2020-12-01T01:45:20.851+09:00
39846,9092,6,398,2438,2439,2439,0.09,62,13084,2233.71,2303.44,889015,290.012,2020-12-01T01:50:40.875+09:00
39846,9092,6,438,2438,2439,2439,0.13,66,11881,2044.5,2048.59,895491,290.017,2020-12-01T01:55:30.166+09:00
39846,9092,6,366,2438,2439,2439,0.05,61,12289,2395.12,2496.71,876615,290.019,2020-12-01T02:00:20.848+09:00
39846,9092,6,269,2438,2439,2439,0.09,62,9186,2002.39,1761.06,538643,170.016,2020-12-01T02:05:40.501+09:00
39846,9092,6,412,2437,2439,2439,0.13,61,10926,2143.63,2230.6,883174,290.015,2020-12-01T02:10:31.787+09:00
39846,9092,6,465,2437,2439,2439,0.14,78,11636,1952.32,1846.74,907828,290.018,2020-12-01T02:15:23.066+09:00
39846,9092,6,434,2438,2439,2439,0.1,65,11636,2066.02,2104.58,896654,290.02,2020-12-01T02:20:42.987+09:00
39846,9092,6,402,2438,2439,2439,0.12,67,10340,2206.3,2268.63,886932,290.02,2020-12-01T02:25:32.263+09:00
39846,9092,6,402,2438,2439,2439,0.09,95,11636,2185.91,2244.5,878737,290.015,2020-12-01T02:35:42.117+09:00
39846,9092,6,376,2438,2439,2439,0.09,65,12606,2313.74,2454.7,869967,290.014,2020-12-01T02:40:33.453+09:00
39846,9092,6,386,2438,2439,2439,0.1,76,12024,2278.65,2250.48,879559,290.012,2020-12-01T02:45:23.115+09:00
39846,9092,6,348,2438,2439,2439,0.05,99,13084,2482.83,2545.63,864024,290.016,2020-12-01T02:50:42.894+09:00
39846,9092,6,369,2438,2439,2439,0.07,61,12032,2359.85,2326.45,870783,290.017,2020-12-01T02:55:33.187+09:00
39846,9092,6,401,2438,2439,2439,0.09,60,10807,2205.31,2215.95,884330,290.015,2020-12-01T03:00:23.599+09:00
39846,9092,6,238,2438,2439,2439,0.11,61,10638,2202.21,2177.08,524126,170.019,2020-12-01T03:05:43.018+09:00
39846,9092,6,399,2438,2439,2439,0.1,61,11879,2208.2,2145.95,881071,290.017,2020-12-01T03:10:33.870+09:00
39846,9092,6,387,2438,2439,2439,0.09,87,11878,2277.66,2329.96,881454,290.014,2020-12-01T03:15:22.784+09:00
39846,9092,6,427,2438,2439,2439,0.07,102,11636,2093.39,2074.43,893878,290.017,2020-12-01T03:20:44.231+09:00
39846,9092,6,393,2437,2439,2439,0.14,90,10188,2224.7,2226.19,874309,290.019,2020-12-01T03:25:34.206+09:00
39846,9092,6,443,2439,2439,2439,0,87,10417,2024.7,2032.58,896940,290.015,2020-12-01T03:30:23.505+09:00
39846,9092,6,438,2438,2439,2439,0.08,64,11636,2028.41,2100.02,888444,290.017,2020-12-01T03:35:45.259+09:00
39846,9092,6,346,2438,2439,2439,0.05,99,11603,2489.64,2529.9,861415,290.018,2020-12-01T03:40:35.558+09:00
39846,9092,6,372,2437,2439,2439,0.14,62,11585,2351.01,2400.26,874575,290.015,2020-12-01T03:50:46.133+09:00
39846,9092,6,389,2438,2439,2439,0.14,61,12272,2278.93,2249.03,886503,290.019,2020-12-01T03:55:35.482+09:00
39846,9092,6,393,2438,2439,2439,0.07,93,11213,2238.64,2040.22,879786,290.017,2020-12-01T04:00:25.668+09:00
39846,9092,6,250,2438,2439,2439,0.13,66,10497,2150.47,2110.18,537617,170.018,2020-12-01T04:05:46.775+09:00
39846,9092,6,408,2438,2439,2439,0.12,84,11636,2177.22,2077.56,888304,290.018,2020-12-01T04:10:37.885+09:00
39846,9092,6,434,2438,2439,2439,0.13,61,14253,2089.49,2109.19,906837,290.015,2020-12-01T04:15:29.288+09:00
39846,9092,6,494,2438,2439,2439,0.1,69,13084,1842.02,1775.4,909957,290.02,2020-12-01T04:20:18.287+09:00
39846,9092,6,201,2438,2439,2439,0.1,63,11499,2314.24,2315.47,465162,150.016,2020-12-01T04:25:39.634+09:00
39846,9092,6,437,2438,2439,2439,0.05,63,11257,2041.41,2055.76,892097,290.014,2020-12-01T04:30:30.254+09:00
39846,9092,6,377,2438,2439,2439,0.05,72,13084,2303.66,2350.48,868480,290.016,2020-12-01T04:35:20.043+09:00
39846,9092,6,400,2438,2439,2439,0.12,61,12275,2207.19,2390.82,882875,290.017,2020-12-01T04:40:41.145+09:00
39846,9092,6,441,2438,2439,2439,0.12,61,11671,2036.8,2144.24,898230,290.019,2020-12-01T04:45:32.722+09:00
39846,9092,6,381,2438,2439,2439,0.07,87,12006,2297.6,2370.25,875385,290.019,2020-12-01T04:50:22.913+09:00
39846,9092,6,391,2438,2439,2439,0.07,102,11785,2248.49,2312.08,879160,290.019,2020-12-01T04:55:43.736+09:00
39846,9092,6,381,2437,2439,2439,0.14,132,13084,2314.97,2357.54,882004,290.011,2020-12-01T05:00:34.971+09:00
39846,9092,6,200,2439,2439,2439,0,67,11703,2588.23,2735.39,517646,170.014,2020-12-01T05:05:26.636+09:00
39846,9092,6,441,2434,2439,2439,0.26,62,11636,2032.13,2076.47,896170,290.015,2020-12-01T05:10:48.366+09:00
39846,9092,6,407,2438,2439,2439,0.13,62,11425,2172.62,2123.46,884256,290.009,2020-12-01T05:15:38.267+09:00
39846,9092,6,422,2438,2439,2439,0.11,76,11636,2099.12,2202.07,885829,290.018,2020-12-01T05:20:29.604+09:00
39846,9092,6,419,2438,2439,2439,0.07,66,11985,2136.03,2181.81,894998,290.017,2020-12-01T05:25:20.321+09:00
39846,9092,6,412,2438,2439,2439,0.07,73,10384,2160.07,2188.21,889948,290.014,2020-12-01T05:30:40.780+09:00
39846,9092,6,416,2437,2439,2439,0.13,70,11920,2141.5,2179.25,890864,290.016,2020-12-01T05:35:30.143+09:00
39846,9092,6,420,2438,2439,2439,0.1,62,10562,2127.08,2134.11,893372,290.017,2020-12-01T05:40:21.626+09:00
39846,9092,6,361,2439,2439,2439,0,87,11869,2397.75,2402.04,865589,290.014,2020-12-01T05:45:42.573+09:00
39846,9092,6,395,2438,2439,2439,0.05,65,13084,2243.22,2163.02,886073,290.015,2020-12-01T05:55:21.585+09:00
39846,9092,6,364,2438,2439,2439,0.05,61,11636,2403.05,2373.55,874709,290.016,2020-12-01T06:00:41.915+09:00
39846,9092,6,252,2438,2439,2439,0.09,98,12176,2090.06,2092.87,526695,170.019,2020-12-01T06:05:31.209+09:00
39846,9092,6,388,2438,2439,2439,0.09,61,13084,2266.18,2293.58,879279,290.016,2020-12-01T06:10:23.530+09:00
39846,9092,6,412,2438,2439,2439,0.11,59,11402,2152.09,2147.36,886663,290.015,2020-12-01T06:15:42.829+09:00
39846,9092,6,384,2438,2439,2439,0.09,73,12251,2296.65,2210.17,881915,290.016,2020-12-01T06:20:33.133+09:00
39846,9092,6,397,2438,2439,2439,0.07,63,12551,2222.93,2250.72,882504,290.016,2020-12-01T06:25:21.960+09:00
39846,9092,6,391,2438,2439,2439,0.07,60,11534,2231.9,2300.95,872674,290.015,2020-12-01T06:30:42.847+09:00
39846,9092,6,418,2434,2439,2439,0.24,59,10898,2115.39,2033.88,884234,290.012,2020-12-01T06:35:32.554+09:00
39846,9092,6,417,2438,2439,2439,0.13,65,12641,2127.52,2160.96,887175,290.015,2020-12-01T06:40:22.471+09:00
39846,9092,6,436,2438,2439,2439,0.08,103,10188,2048.14,1875.78,892990,290.018,2020-12-01T06:45:43.009+09:00
39846,9092,6,413,2437,2439,2439,0.15,64,11594,2159.42,2131.84,891841,290.014,2020-12-01T06:55:23.092+09:00
39846,9092,6,388,2438,2439,2439,0.07,76,11939,2258.66,2265.93,876361,290.017,2020-12-01T07:00:43.670+09:00
39846,9092,6,238,2438,2439,2439,0.09,161,11199,2248.58,2338.6,535162,170.014,2020-12-01T07:05:33.985+09:00
39846,9092,6,407,2438,2439,2439,0.05,61,12018,2177.39,2167.84,886199,290.017,2020-12-01T07:10:22.999+09:00
39846,9092,6,430,2438,2439,2439,0.1,79,11662,2070.27,2145.72,890215,290.015,2020-12-01T07:15:42.607+09:00
39846,9092,6,347,2438,2439,2439,0.08,99,11169,2484.84,2457.02,862240,290.012,2020-12-01T07:20:34.255+09:00
39846,9092,6,421,2438,2439,2439,0.12,65,12740,2109.51,2146.15,888103,290.02,2020-12-01T07:25:24.550+09:00
39846,9092,6,381,2438,2439,2439,0.09,104,12459,2286.04,2321.63,870983,290.015,2020-12-01T07:30:45.084+09:00
39846,9092,6,430,2438,2439,2439,0.08,85,11703,2064.59,2043.21,887774,290.018,2020-12-01T07:35:35.665+09:00
39846,9092,6,415,2438,2439,2439,0.07,59,10205,2134.99,2111.19,886020,290.017,2020-12-01T07:40:27.702+09:00
39846,9092,6,388,2438,2439,2439,0.05,59,11729,2259.13,2302.13,876541,290.016,2020-12-01T07:45:49.119+09:00
39846,9092,6,429,2438,2439,2439,0.1,61,11636,2089.29,1976.5,896304,290.019,2020-12-01T07:50:39.484+09:00
39846,9092,6,434,2438,2439,2439,0.11,72,12552,2055.49,2085.28,892081,290.018,2020-12-01T07:55:29.453+09:00
39846,9092,6,229,2438,2439,2439,0.11,75,13084,2310.03,2219.4,528998,170.016,2020-12-01T08:05:30.643+09:00
39846,9092,6,351,2438,2439,2439,0.08,90,11586,2464.07,2472.67,864889,290.009,2020-12-01T08:10:21.559+09:00
39846,9092,6,393,2438,2439,2439,0.09,76,11677,2237.64,2135.72,879392,290.019,2020-12-01T08:20:31.639+09:00
39846,9092,6,406,2438,2439,2439,0.07,61,11636,2177.07,2117.57,883892,290.015,2020-12-01T08:25:20.980+09:00
39846,9092,6,386,2438,2439,2439,0.05,78,11787,2282.44,2293.87,881020,290.014,2020-12-01T08:30:42.691+09:00
39846,9092,6,444,2438,2439,2439,0.09,65,11741,2019.76,1920.64,896773,290.014,2020-12-01T08:35:33.569+09:00
39846,9092,6,380,2438,2439,2439,0.07,63,12652,2297.59,2477.55,873086,290.017,2020-12-01T08:40:25.179+09:00
39846,9092,6,454,2437,2439,2439,0.11,63,10188,2003.37,1898.68,909532,290.016,2020-12-01T08:45:45.331+09:00
39846,9092,6,379,2438,2439,2439,0.07,65,12111,2324.78,2373.01,881090,290.017,2020-12-01T08:50:36.586+09:00
39846,9092,6,422,2438,2439,2439,0.08,61,11636,2090.68,2095.42,882265,290.013,2020-12-01T08:55:25.862+09:00
39846,9092,6,260,2438,2439,2439,0.06,61,11183,2053.38,2010.99,533879,170.017,2020-12-01T09:05:30.331+09:00
39846,9092,6,350,2437,2439,2439,0.11,65,13084,2487.93,2414.43,870777,290.015,2020-12-01T09:10:20.765+09:00
39846,9092,6,405,2437,2439,2439,0.12,66,12079,2185.84,2245.49,885267,290.016,2020-12-01T09:20:30.590+09:00
39846,9092,6,406,2438,2439,2439,0.05,63,12227,2173.25,2164.57,882340,290.017,2020-12-01T09:25:20.127+09:00
39846,9092,6,433,2438,2439,2439,0.08,75,12461,2059.91,2060.38,891943,290.016,2020-12-01T09:30:42.609+09:00
39846,9092,6,367,2438,2439,2439,0.07,61,11844,2364.86,2322.86,867902,290.016,2020-12-01T09:35:32.325+09:00
39846,9092,6,407,2436,2439,2439,0.2,94,11979,2167.4,2101.48,882132,290.017,2020-12-01T09:40:21.705+09:00
39846,9092,6,443,2438,2439,2439,0.12,102,12402,2027.85,2050.18,898336,290.018,2020-12-01T09:45:40.237+09:00
39846,9092,6,420,2438,2439,2439,0.1,60,11775,2119.12,2152.09,890029,290.016,2020-12-01T09:50:30.267+09:00
39846,9092,6,394,2438,2439,2439,0.07,61,11934,2232.15,2165.37,879469,290.014,2020-12-01T09:55:20.766+09:00
39846,9092,6,379,2439,2439,2439,0,66,12488,2305.05,2349.13,873613,290.019,2020-12-01T10:00:40.480+09:00
39846,9092,6,240,2439,2439,2439,0,161,11636,2192.33,2243.38,526158,170.017,2020-12-01T10:05:31.000+09:00
39846,9092,6,411,2438,2439,2439,0.09,62,13084,2155.18,2256.6,885779,290.016,2020-12-01T10:10:21.915+09:00
39846,9092,6,421,2436,2439,2439,0.25,96,11717,2118.24,2202.72,891780,290.017,2020-12-01T10:15:41.704+09:00
39846,9092,6,363,2438,2439,2439,0.05,61,11928,2418.54,2473.69,877929,290.016,2020-12-01T10:20:31.653+09:00
39846,9092,6,407,2439,2439,2439,0,64,12666,2173.41,2216.5,884578,290.016,2020-12-01T10:25:22.066+09:00
39846,9092,6,399,2435,2439,2439,0.2,61,11849,2190,2303.9,873809,290.019,2020-12-01T10:30:41.629+09:00
39846,9092,6,375,2439,2439,2439,0,74,11900,2329.22,2397.68,873458,290.018,2020-12-01T10:35:32.306+09:00
39846,9092,6,387,2438,2439,2439,0.09,88,11463,2252.41,2223.8,871681,290.015,2020-12-01T10:40:21.437+09:00
39846,9092,6,365,2438,2439,2439,0.07,79,12241,2373.02,2524.39,866152,290.018,2020-12-01T10:45:41.791+09:00
39846,9092,6,408,2439,2439,2439,0,83,13084,2155.62,2135.19,879494,290.017,2020-12-01T10:50:32.424+09:00
39846,9092,6,369,2439,2439,2439,0,102,12858,2364.79,2311.5,872607,290.016,2020-12-01T10:55:22.174+09:00
39846,9092,6,413,2438,2439,2439,0.1,67,11612,2157.92,2066.04,891219,290.02,2020-12-01T11:00:41.855+09:00
39846,9092,6,237,2438,2439,2439,0.06,62,10568,2215.46,2158.28,525063,170.018,2020-12-01T11:05:32.046+09:00
39846,9092,6,393,2438,2439,2439,0.11,70,13084,2257.77,2326.93,887303,290.014,2020-12-01T11:10:21.367+09:00
39846,9092,6,373,2438,2439,2439,0.13,59,11743,2353.68,2432.53,877922,290.014,2020-12-01T11:15:41.865+09:00
39846,9092,6,359,2439,2439,2439,0,75,11962,2432.08,2377.28,873117,290.007,2020-12-01T11:20:31.412+09:00
39846,9092,6,421,2438,2439,2439,0.07,76,10550,2113.83,2073.13,889921,290.014,2020-12-01T11:25:21.692+09:00
39846,9092,6,422,2438,2439,2439,0.07,61,10967,2109.23,1984.62,890094,290.018,2020-12-01T11:35:31.627+09:00
39846,9092,6,413,2438,2439,2439,0.09,70,13084,2140.67,2230.17,884098,290.01,2020-12-01T11:40:23.085+09:00
39846,9092,6,370,2438,2439,2439,0.07,108,11636,2365.41,2352.32,875202,290.016,2020-12-01T11:45:44.365+09:00
39846,9092,6,380,2438,2439,2439,0.05,126,10947,2302.4,2312.48,874911,290.015,2020-12-01T11:50:35.558+09:00
39846,9092,6,442,2438,2439,2439,0.07,85,12219,2042.26,2119.26,902679,290.015,2020-12-01T11:55:26.316+09:00
39846,9092,6,456,2438,2439,2439,0.05,76,10435,1975.2,1903.82,900691,290.017,2020-12-01T12:00:46.300+09:00
39846,9092,6,216,2438,2439,2439,0.1,98,12542,2429.12,2372.78,524689,170.015,2020-12-01T12:05:36.401+09:00
39846,9092,6,381,2438,2439,2439,0.13,66,11582,2309.72,2314.03,880003,290.016,2020-12-01T12:10:27.068+09:00
39846,9092,6,432,2438,2439,2439,0.1,61,12888,2056.3,2107.51,888322,290.016,2020-12-01T12:15:47.677+09:00
39846,9092,6,393,2439,2439,2439,0,61,11865,2235.51,2221.51,878555,290.015,2020-12-01T12:20:36.930+09:00
39846,9092,6,410,2438,2439,2439,0.09,61,11483,2176.98,2181.14,892560,290.016,2020-12-01T12:25:25.548+09:00
39846,9092,6,349,2438,2439,2439,0.09,106,11636,2483.62,2479.75,866782,290.016,2020-12-01T12:30:44.747+09:00
39846,9092,6,436,2434,2439,2439,0.26,66,11235,2057.63,2080.34,897126,290.016,2020-12-01T12:35:35.497+09:00
39846,9092,6,466,2438,2439,2439,0.14,72,11961,1936.2,1916.42,902267,290.034,2020-12-01T12:40:26.428+09:00
39846,9092,6,407,2438,2439,2439,0.07,69,11164,2164.36,2174.13,880893,290.016,2020-12-01T12:45:47.269+09:00
39846,9092,6,374,2438,2439,2439,0.12,102,11984,2343.2,2326.97,876358,290.018,2020-12-01T12:50:38.247+09:00
39846,9092,6,409,2437,2439,2439,0.16,64,11515,2172.25,2072.61,888452,290.013,2020-12-01T12:55:27.150+09:00
39846,9092,6,424,2438,2439,2439,0.07,61,11751,2095.57,2062.26,888521,290.017,2020-12-01T13:00:49.109+09:00
39846,9092,6,244,2438,2439,2439,0.06,85,10525,2170.14,2021.9,529514,170.017,2020-12-01T13:05:39.020+09:00
39846,9092,6,415,2438,2439,2439,0.1,78,11673,2146.37,2139.59,890744,290.018,2020-12-01T13:15:19.800+09:00
39846,9092,6,438,2438,2439,2439,0.07,65,11668,2031.83,2123.55,889941,290.019,2020-12-01T13:20:41.042+09:00
39846,9092,6,383,2438,2439,2439,0.05,67,12135,2285.36,2357.05,875292,290.01,2020-12-01T13:25:31.538+09:00
39846,9092,6,430,2438,2439,2439,0.05,65,10635,2082.6,1978.4,895520,290.015,2020-12-01T13:35:39.788+09:00
39846,9092,6,458,2438,2439,2439,0.1,74,11570,1960.84,2036.17,898064,290.016,2020-12-01T13:40:28.011+09:00
39846,9092,6,414,2438,2439,2439,0.07,63,11396,2151.81,2140.37,890849,290.011,2020-12-01T13:45:48.300+09:00
39846,9092,6,361,2438,2439,2439,0.07,73,12047,2426.42,2472.24,875937,290.017,2020-12-01T13:50:39.177+09:00
39846,9092,6,425,2438,2439,2439,0.13,61,10188,2089.53,2087.95,888050,290.012,2020-12-01T13:55:30.253+09:00
39846,9092,6,395,2438,2439,2439,0.05,106,11573,2221.27,2236.99,877401,290.015,2020-12-01T14:00:23.502+09:00
39846,9092,6,254,2438,2439,2439,0.09,116,11025,2111.42,2059.75,536300,170.015,2020-12-01T14:05:45.014+09:00
39846,9092,6,417,2438,2439,2439,0.11,61,11440,2125.41,2116.02,886297,290.018,2020-12-01T14:10:35.843+09:00
39846,9092,6,400,2438,2439,2439,0.07,89,10188,2225.29,2077.47,890116,290.016,2020-12-01T14:15:25.318+09:00
39846,9092,6,392,2438,2439,2439,0.1,81,11636,2266.04,2400.03,888287,290.017,2020-12-01T14:20:44.847+09:00
39846,9092,6,371,2438,2439,2439,0.05,59,11581,2343.37,2349.9,869390,290.017,2020-12-01T14:25:34.813+09:00
39846,9092,6,386,2439,2439,2439,0,108,11621,2262.4,2193.66,873288,290.016,2020-12-01T14:35:43.832+09:00
39846,9092,6,416,2438,2439,2439,0.08,84,10773,2131.67,2121.18,886776,290.017,2020-12-01T14:40:34.350+09:00
39846,9092,6,387,2438,2439,2439,0.09,67,13084,2291.39,2265.64,886766,290.013,2020-12-01T14:45:23.987+09:00
39846,9092,6,463,2438,2439,2439,0.05,61,11937,1949.74,1933.51,902730,290.014,2020-12-01T14:50:44.365+09:00
39846,9092,6,415,2438,2439,2439,0.08,68,12293,2157.1,2313.89,895197,290.019,2020-12-01T14:55:34.215+09:00
39846,9092,6,375,2438,2439,2439,0.07,78,11926,2340.98,2536.48,877867,290.017,2020-12-01T15:00:24.178+09:00
39846,9092,6,256,2438,2439,2439,0.06,103,11234,2117.84,2020.49,542166,170.016,2020-12-01T15:05:45.524+09:00
39846,9092,6,420,2438,2439,2439,0.08,59,12113,2111.54,2062.62,886847,290.016,2020-12-01T15:10:36.715+09:00
39846,9092,6,441,2437,2439,2439,0.11,63,13084,2018.25,2067.76,890049,290.014,2020-12-01T15:15:27.134+09:00
39846,9092,6,399,2438,2439,2439,0.09,61,12067,2208.89,2139.71,881347,290.015,2020-12-01T15:20:47.324+09:00
39846,9092,6,391,2438,2439,2439,0.09,74,11570,2261.03,2307.3,884063,290.017,2020-12-01T15:25:37.516+09:00
39846,9092,6,381,2435,2439,2439,0.22,61,11886,2300.24,2343.1,876390,290.015,2020-12-01T15:30:29.363+09:00
39846,9092,6,421,2438,2439,2439,0.1,67,13084,2116.64,2145.1,891105,290.01,2020-12-01T15:35:22.411+09:00
39846,9092,6,405,2438,2439,2439,0.12,69,11657,2176.86,2166.16,881628,290.016,2020-12-01T15:40:43.279+09:00
39846,9092,6,422,2438,2439,2439,0.1,64,13084,2106.69,2168.15,889023,290.016,2020-12-01T15:45:34.029+09:00
39846,9092,6,396,2439,2439,2439,0,59,12583,2230.58,2334.71,883308,290.015,2020-12-01T15:50:23.673+09:00
39846,9092,6,390,2438,2439,2439,0.09,69,12028,2251.49,2353.81,878082,290.01,2020-12-01T15:55:46.244+09:00
39846,9092,6,433,2438,2439,2439,0.08,61,11235,2082.83,1982.64,901864,290.018,2020-12-01T16:00:35.217+09:00
39846,9092,6,215,2436,2439,2439,0.2,105,11636,2430.19,2335.19,522491,170.018,2020-12-01T16:05:25.020+09:00
39846,9092,6,398,2438,2439,2439,0.09,59,13084,2217.09,2231.51,882401,290.011,2020-12-01T16:15:33.074+09:00
39846,9092,6,371,2438,2439,2439,0.09,99,11496,2334.46,2364.51,866086,290.009,2020-12-01T16:20:22.344+09:00
39846,9092,6,400,2438,2439,2439,0.07,69,10076,2197.66,2122.64,879065,290.018,2020-12-01T16:25:43.541+09:00
39846,9092,6,399,2438,2439,2439,0.1,87,11881,2219.59,2186.67,885616,290.016,2020-12-01T16:30:36.040+09:00
39846,9092,6,411,2438,2439,2439,0.05,88,11256,2145.43,2118.65,881773,290.017,2020-12-01T16:35:26.736+09:00
39846,9092,6,379,2438,2439,2439,0.09,105,12606,2318.16,2353.65,878581,290.016,2020-12-01T16:40:46.724+09:00
39846,9092,6,400,2438,2439,2439,0.07,85,11636,2200.51,2283.48,880205,290.016,2020-12-01T16:45:37.484+09:00
39846,9092,6,431,2438,2439,2439,0.07,61,11284,2069.79,1921.42,892081,290.02,2020-12-01T16:55:46.028+09:00
39846,9092,6,415,2437,2439,2439,0.13,71,13084,2130.96,2113.44,884348,290.015,2020-12-01T17:00:36.051+09:00
39846,9092,6,281,2438,2439,2439,0.1,77,10188,1933.48,1919.33,543308,170.018,2020-12-01T17:05:26.321+09:00
39846,9092,6,395,2430,2439,2439,0.61,72,11495,2242.07,2104.03,885618,290.016,2020-12-01T17:10:46.189+09:00
39846,9092,6,426,2437,2439,2439,0.14,76,13084,2080.9,2083.17,886463,290.017,2020-12-01T17:15:35.267+09:00
39846,9092,6,424,2438,2439,2439,0.07,77,12841,2103.27,2154.35,891788,290.016,2020-12-01T17:20:24.457+09:00
39846,9092,6,379,2438,2439,2439,0.09,100,11636,2303.02,2387.03,872844,290.017,2020-12-01T17:25:43.182+09:00
39846,9092,6,453,2437,2439,2439,0.15,97,11530,2000.15,2122.67,906066,290.011,2020-12-01T17:30:33.171+09:00
39846,9092,6,393,2438,2439,2439,0.1,61,12550,2226.44,2217.72,874989,290.018,2020-12-01T17:35:22.914+09:00
39846,9092,6,413,2438,2439,2439,0.1,68,13084,2151.53,2196.82,888580,290.016,2020-12-01T17:40:41.341+09:00
39846,9092,6,420,2437,2439,2439,0.15,71,11636,2142.22,2254.01,899732,290.014,2020-12-01T17:45:30.678+09:00
39846,9092,6,425,2438,2439,2439,0.08,80,11863,2108.99,2115.76,896321,290.017,2020-12-01T17:50:19.978+09:00
39846,9092,6,436,2438,2439,2439,0.11,61,11990,2041.1,2121.41,889920,290.016,2020-12-01T17:55:40.192+09:00
39846,9092,6,413,2438,2439,2439,0.1,96,12081,2133.77,2136.59,881249,290.015,2020-12-01T18:00:29.120+09:00
39846,9092,6,234,2438,2439,2439,0.14,102,12651,2239.76,2166.62,524104,170.015,2020-12-01T18:05:49.031+09:00
39846,9092,6,445,2438,2439,2439,0.08,99,11571,2018.73,2057.53,898336,290.019,2020-12-01T18:10:37.723+09:00
