avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
2439,0.07,161,11888,2198.562,2198.3842,841409.62,2020-12-01T00:05:24.998+09:00
2439,0.11,63,11856,2188.87,2193.5692,848574.18,2020-12-01T00:10:44.861+09:00
2439,0.13,102,13084,2188.4464,2199.4964,848582.98,2020-12-01T00:15:33.979+09:00
2439,0.09,61,11550,2184.99,2195.9594,849091.56,2020-12-01T00:25:41.464+09:00
2439,0.09,87,11544,2191.1488,2204.9682,848334.18,2020-12-01T00:35:18.114+09:00
2439,0.12,101,11833,2196.4944,2213.0202,847848.78,2020-12-01T00:40:37.788+09:00
2439,0.1,62,11636,2200.153,2219.2294,847622.36,2020-12-01T00:45:26.870+09:00
2439,0.07,68,12145,2207.5304,2227.5992,840486.76,2020-12-01T00:50:46.760+09:00
2439,0.16,81,11219,2204.7438,2226.1916,840734.44,2020-12-01T00:55:36.656+09:00
2439,0.12,61,11654,2200.6166,2221.9662,840862.66,2020-12-01T01:00:26.560+09:00
2439,0.06,109,11820,2201.2258,2224.7142,840706,2020-12-01T01:05:46.009+09:00
2439,0.07,61,13084,2201.4684,2225.1584,847986.46,2020-12-01T01:10:35.474+09:00
2439,0.39,61,11170,2204.2762,2229.862,847891.06,2020-12-01T01:15:24.138+09:00
2439,0.12,61,13084,2206.6722,2231.8748,847755.64,2020-12-01T01:20:43.389+09:00
2439,0.12,69,11946,2203.882,2227.1736,848170.34,2020-12-01T01:25:32.788+09:00
2439,0.05,65,13084,2204.2254,2226.7218,848056.3,2020-12-01T01:30:21.957+09:00
2439,0.11,61,11950,2205.6908,2223.6466,847940.78,2020-12-01T01:35:41.435+09:00
2439,0.11,64,13084,2208.0652,2224.0124,847708.58,2020-12-01T01:40:31.173+09:00
2439,0.15,102,11849,2207.1268,2222.1286,840505.58,2020-12-01T01:45:20.851+09:00
