avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
2439,0.07,75.02,11796.36,2198.562,2198.3842,841409.62,2020-12-01T00:05:24.998+09:00
2439,0.11,73.24,11820.28,2188.87,2193.5692,848574.18,2020-12-01T00:10:44.861+09:00
2439,0.13,73.2,11828.66,2188.4464,2199.4964,848582.98,2020-12-01T00:15:33.979+09:00
2439,0.09,72.38,11800.4,2184.99,2195.9594,849091.56,2020-12-01T00:25:41.464+09:00
2439,0.09,72.9,11809.52,2191.1488,2204.9682,848334.18,2020-12-01T00:35:18.114+09:00
2439,0.12,73.2,11814.34,2196.4944,2213.0202,847848.78,2020-12-01T00:40:37.788+09:00
2439,0.1,73.82,11839.36,2200.153,2219.2294,847622.36,2020-12-01T00:45:26.870+09:00
2439,0.07,73.92,11840.7,2207.5304,2227.5992,840486.76,2020-12-01T00:50:46.760+09:00
2439,0.16,73.8,11830.52,2204.7438,2226.1916,840734.44,2020-12-01T00:55:36.656+09:00
2439,0.12,73.42,11834.64,2200.6166,2221.9662,840862.66,2020-12-01T01:00:26.560+09:00
2439,0.06,73.72,11834.28,2201.2258,2224.7142,840706,2020-12-01T01:05:46.009+09:00
2439,0.07,72.86,11837.58,2201.4684,2225.1584,847986.46,2020-12-01T01:10:35.474+09:00
2439,0.39,73.1,11783.58,2204.2762,2229.862,847891.06,2020-12-01T01:15:24.138+09:00
2439,0.12,73.28,11798.58,2206.6722,2231.8748,847755.64,2020-12-01T01:20:43.389+09:00
2439,0.12,73.3,11748.14,2203.882,2227.1736,848170.34,2020-12-01T01:25:32.788+09:00
2439,0.05,73.66,11746.6,2204.2254,2226.7218,848056.3,2020-12-01T01:30:21.957+09:00
2439,0.11,73.66,11746.6,2205.6908,2223.6466,847940.78,2020-12-01T01:35:41.435+09:00
2439,0.11,73.66,11740.32,2208.0652,2224.0124,847708.58,2020-12-01T01:40:31.173+09:00
2439,0.15,74.34,11722.16,2207.1268,2222.1286,840505.58,2020-12-01T01:45:20.851+09:00
2439,0.09,73.52,11746.86,2203.3674,2218.3696,840715.78,2020-12-01T01:50:40.875+09:00
2439,0.13,73.46,11713.22,2201.735,2215.248,840668.74,2020-12-01T01:55:30.166+09:00
2439,0.05,73.6,11720.62,2206.778,2218.4796,840397.22,2020-12-01T02:00:20.848+09:00
2439,0.09,73.64,11725.86,2203.3342,2213.5598,840515,2020-12-01T02:05:40.501+09:00
2439,0.13,73.6,11772.82,2207.9244,2224.3576,847195.62,2020-12-01T02:10:31.787+09:00
2439,0.14,73.56,11772.26,2207.3596,2220.4232,847216.82,2020-12-01T02:15:23.066+09:00
2439,0.1,73.3,11792.36,2210.8636,2226.7076,846803.76,2020-12-01T02:20:42.987+09:00
2439,0.12,74.06,11763.4,2210.506,2222.1316,846730.48,2020-12-01T02:25:32.263+09:00
2439,0.09,74,11788.48,2209.5684,2219.3958,846828.66,2020-12-01T02:35:42.117+09:00
