min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,std_dev_databytes,total_data_bytes,Processing_time
2438,2439,2439,0.07,161,11888,2788.26,2591.23,2591.23,510252,2020-12-01T00:05:24.998+09:00
2438,2439,2439,0.074,151.2,11884.8,2732.271,2541.553,2094.46,547470.3,2020-12-01T00:10:44.861+09:00
2438,2439,2439,0.0796,146.28,12004.72,2680.0059,2519.5067,2321.09,580003.37,2020-12-01T00:15:33.979+09:00
2438,2439,2439,0.08064,137.752,11959.248,2610.97131,2459.53703,1919.81,613328.433,2020-12-01T00:25:41.464+09:00
2438,2439,2439,0.081576,132.6768,11917.7232,2547.995179,2404.531327,1909.48,642338.5897,2020-12-01T00:35:18.114+09:00
2438,2439,2439,0.0854184,129.50912,11909.25088,2506.399661,2368.786194,2047.08,667437.2307,2020-12-01T00:40:37.788+09:00
2438,2439,2439,0.08687656,122.758208,11881.92579,2477.695695,2363.597575,2316.9,688136.1077,2020-12-01T00:45:26.870+09:00
2438,2439,2439,0.085188904,117.2823872,11908.23321,2447.072125,2341.922817,2146.85,707701.0969,2020-12-01T00:50:46.760+09:00
2437.9,2439,2439,0.092670014,113.6541485,11839.30989,2440.262913,2341.203536,2334.73,724715.4872,2020-12-01T00:55:36.656+09:00
2437.91,2439,2439,0.095403012,108.3887336,11820.7789,2403.102622,2313.550182,2064.67,741610.1385,2020-12-01T01:00:26.560+09:00
2437.919,2439,2439,0.091862711,108.4498603,11820.70101,2375.182359,2298.155164,2159.6,720546.6246,2020-12-01T01:05:46.009+09:00
2437.9271,2439,2439,0.08967644,103.7048742,11947.03091,2339.632124,2263.642647,1953.03,737963.7622,2020-12-01T01:10:35.474+09:00
2437.23439,2439,2439,0.119708796,99.43438682,11869.32782,2307.838911,2245.139383,2078.61,753930.886,2020-12-01T01:15:24.138+09:00
2437.310951,2439,2439,0.119737916,95.59094814,11990.79504,2303.71402,2257.542444,2369.17,765801.4974,2020-12-01T01:20:43.389+09:00
2437.379856,2439,2439,0.119764125,92.93185332,11986.31553,2311.400618,2274.2512,2424.63,776350.4476,2020-12-01T01:25:32.788+09:00
2437.44187,2439,2439,0.112787712,90.13866799,12096.08398,2297.255556,2278.50408,2316.78,787900.3029,2020-12-01T01:30:21.957+09:00
2437.497683,2439,2439,0.112508941,87.22480119,12081.47558,2295.963001,2286.179672,2355.26,797742.1726,2020-12-01T01:35:41.435+09:00
2437.547915,2439,2439,0.112258047,84.90232107,12181.72802,2280.064701,2276.267705,2187.06,806652.4553,2020-12-01T01:40:31.173+09:00
2437.593123,2439,2439,0.116032242,86.61208896,12148.45522,2297.473231,2296.793934,2481.53,812864.1098,2020-12-01T01:45:20.851+09:00
2437.633811,2439,2439,0.113429018,84.15088007,12242.0097,2291.096907,2297.458541,2303.44,820479.1988,2020-12-01T01:50:40.875+09:00
2437.67043,2439,2439,0.115086116,82.33579206,12205.90873,2266.437217,2272.571687,2048.59,827980.3789,2020-12-01T01:55:30.166+09:00
2437.703387,2439,2439,0.108577505,80.20221286,12214.21786,2279.305495,2294.985518,2496.71,832843.841,2020-12-01T02:00:20.848+09:00
2437.733048,2439,2439,0.106719754,78.38199157,11911.39607,2251.613946,2241.592966,1761.06,803423.7569,2020-12-01T02:05:40.501+09:00
2437.659743,2439,2439,0.109047779,76.64379241,11812.85646,2240.815551,2240.49367,2230.6,811398.7812,2020-12-01T02:10:31.787+09:00
2437.593769,2439,2439,0.112143001,76.77941317,11795.17082,2211.965996,2201.118303,1846.74,821041.7031,2020-12-01T02:15:23.066+09:00
2437.634392,2439,2439,0.110928701,75.60147185,11779.25374,2197.371396,2191.464472,2104.58,828602.9328,2020-12-01T02:20:42.987+09:00
2437.670953,2439,2439,0.111835831,74.74132467,11635.32836,2198.264257,2199.181025,2268.63,834435.8395,2020-12-01T02:25:32.263+09:00
2437.703858,2439,2439,0.109652248,76.7671922,11635.39553,2197.028831,2203.712923,2244.5,838865.9556,2020-12-01T02:35:42.117+09:00
2437.733472,2439,2439,0.107687023,75.59047298,11732.45597,2208.699948,2228.81163,2454.7,841976.06,2020-12-01T02:40:33.453+09:00
2437.760125,2439,2439,0.106918321,75.63142568,11761.61038,2215.694953,2230.978467,2250.48,845734.354,2020-12-01T02:45:23.115+09:00
2437.784112,2439,2439,0.101226489,77.96828312,11893.84934,2242.408458,2262.443621,2545.63,847563.3186,2020-12-01T02:50:42.894+09:00
2437.805701,2439,2439,0.09810384,76.2714548,11907.6644,2254.152612,2268.844259,2326.45,849885.2867,2020-12-01T02:55:33.187+09:00
2437.825131,2439,2439,0.097293456,74.64430932,11797.59796,2249.268351,2263.554833,2215.95,853329.7581,2020-12-01T03:00:23.599+09:00
2437.842618,2439,2439,0.09856411,73.27987839,11681.63817,2244.562516,2254.907349,2177.08,820409.3823,2020-12-01T03:05:43.018+09:00
2437.858356,2439,2439,0.098707699,72.05189055,11701.37435,2240.926264,2244.011614,2145.95,826475.544,2020-12-01T03:10:33.870+09:00
2437.87252,2439,2439,0.097836929,73.5467015,11719.03692,2244.599638,2252.606453,2329.96,831973.3896,2020-12-01T03:15:22.784+09:00
2437.885268,2439,2439,0.095053236,76.39203135,11710.73322,2229.478674,2234.788808,2074.43,838163.8507,2020-12-01T03:20:44.231+09:00
2437.796742,2439,2439,0.099547913,77.75282821,11558.4599,2229.000807,2233.928927,2226.19,841778.3656,2020-12-01T03:25:34.206+09:00
2437.917067,2439,2439,0.089593121,78.67754539,11444.31391,2208.570726,2213.794034,2032.58,847294.529,2020-12-01T03:30:23.505+09:00
2437.925361,2439,2439,0.088633809,77.20979085,11463.48252,2190.554653,2202.416631,2100.02,851409.4761,2020-12-01T03:35:45.259+09:00
2437.932825,2439,2439,0.084770428,79.38881177,11477.43427,2220.463188,2235.164968,2529.9,852410.0285,2020-12-01T03:40:35.558+09:00
2437.839542,2439,2439,0.090293385,77.64993059,11488.19084,2233.517869,2251.674471,2400.26,854626.5257,2020-12-01T03:50:46.133+09:00
2437.855588,2439,2439,0.095264047,75.98493753,11566.57176,2238.059082,2251.410024,2249.03,857814.1731,2020-12-01T03:55:35.482+09:00
2437.870029,2439,2439,0.092737642,77.68644378,11531.21458,2238.117174,2230.291021,2040.22,860011.3558,2020-12-01T04:00:25.668+09:00
2437.883026,2439,2439,0.096463878,76.5177994,11427.79312,2229.352457,2218.279919,2110.18,827771.9202,2020-12-01T04:05:46.775+09:00
2437.894724,2439,2439,0.09881749,77.26601946,11448.61381,2224.139211,2204.207927,2077.56,833825.1282,2020-12-01T04:10:37.885+09:00
2437.905251,2439,2439,0.101935741,75.63941751,11729.05243,2210.67429,2194.706135,2109.19,841126.3154,2020-12-01T04:15:29.288+09:00
2437.914726,2439,2439,0.101742167,74.97547576,11864.54719,2173.808861,2152.775521,1775.4,848009.3838,2020-12-01T04:20:18.287+09:00
2437.923254,2439,2439,0.10156795,73.77792819,11827.99247,2187.851975,2169.044969,2315.47,809724.6455,2020-12-01T04:25:39.634+09:00
2437.930928,2439,2439,0.096411155,72.70013537,11770.89322,2173.207777,2157.716472,2055.76,817961.8809,2020-12-01T04:30:30.254+09:00
2437.937835,2439,2439,0.09177004,72.63012183,11902.2039,2186.253,2176.992825,2350.48,823013.6928,2020-12-01T04:35:20.043+09:00
2437.944052,2439,2439,0.094593036,71.46710965,11939.48351,2188.3467,2198.375542,2390.82,828999.8235,2020-12-01T04:40:41.145+09:00
2437.949647,2439,2439,0.097133732,70.42039868,11912.63516,2173.19203,2192.961988,2144.24,835922.8412,2020-12-01T04:45:32.722+09:00
2437.954682,2439,2439,0.094420359,72.07835881,11921.97164,2185.632827,2210.690789,2370.25,839869.0571,2020-12-01T04:50:22.913+09:00
2437.959214,2439,2439,0.091978323,75.07052293,11908.27448,2191.918544,2220.82971,2312.08,843798.1514,2020-12-01T04:55:43.736+09:00
2437.863292,2439,2439,0.096780491,80.76347064,12025.84703,2204.22369,2234.500739,2357.54,847618.7362,2020-12-01T05:00:34.971+09:00
2437.976963,2439,2439,0.087102442,79.38712358,11993.56233,2242.624321,2284.589665,2735.39,814621.4626,2020-12-01T05:05:26.636+09:00
2437.579267,2439,2439,0.104392198,77.64841122,11957.80609,2221.574889,2263.777699,2076.47,822776.3163,2020-12-01T05:10:48.366+09:00
2437.62134,2439,2439,0.106952978,76.0835701,11904.52549,2216.6794,2249.745929,2123.46,828924.2847,2020-12-01T05:15:38.267+09:00
2437.659206,2439,2439,0.10725768,76.07521309,11877.67294,2204.92346,2244.978336,2202.07,834614.7562,2020-12-01T05:20:29.604+09:00
2437.693286,2439,2439,0.103531912,75.06769178,11888.40564,2198.034114,2238.661503,2181.81,840653.0806,2020-12-01T05:25:20.321+09:00
2437.723957,2439,2439,0.100178721,74.8609226,11737.96508,2194.237702,2233.616352,2188.21,845582.5726,2020-12-01T05:30:40.780+09:00
2437.651561,2439,2439,0.103160849,74.37483034,11756.16857,2188.963932,2228.179717,2179.25,850110.7153,2020-12-01T05:35:30.143+09:00
2437.686405,2439,2439,0.102844764,73.13734731,11636.75171,2182.775539,2218.772745,2134.11,854436.8438,2020-12-01T05:40:21.626+09:00
2437.817765,2439,2439,0.092560287,74.52361258,11659.97654,2204.272985,2237.099471,2402.04,855552.0594,2020-12-01T05:45:42.573+09:00
2437.835988,2439,2439,0.088304259,73.57125132,11802.37889,2208.167687,2229.691524,2163.02,858604.1535,2020-12-01T05:55:21.585+09:00
2437.852389,2439,2439,0.084473833,72.31412619,11785.741,2227.655918,2244.077371,2373.55,860214.6381,2020-12-01T06:00:41.915+09:00
2437.86715,2439,2439,0.08502645,74.88271357,11824.7669,2213.896326,2228.956634,2092.87,826862.6743,2020-12-01T06:05:31.209+09:00
2437.880435,2439,2439,0.085523805,73.49444221,11950.69021,2219.124693,2235.418971,2293.58,832104.3069,2020-12-01T06:10:23.530+09:00
2437.892392,2439,2439,0.087971424,72.04499799,11895.82119,2212.421224,2226.613074,2147.36,837560.1762,2020-12-01T06:15:42.829+09:00
2437.903153,2439,2439,0.088174282,72.14049819,11931.33907,2220.844102,2224.968766,2210.17,841995.6586,2020-12-01T06:20:33.133+09:00
2437.912837,2439,2439,0.086356854,71.22644837,11993.30516,2221.052692,2227.54389,2250.72,846046.4927,2020-12-01T06:25:21.960+09:00
2437.921554,2439,2439,0.084721168,70.10380353,11947.37465,2222.137422,2234.884501,2300.95,848709.2434,2020-12-01T06:30:42.847+09:00
2437.529398,2439,2439,0.100249051,68.99342318,11842.43718,2211.46268,2214.784051,2033.88,852261.7191,2020-12-01T06:35:32.554+09:00
2437.576458,2439,2439,0.103224146,68.59408086,11922.29346,2203.068412,2209.401646,2160.96,855753.0472,2020-12-01T06:40:22.471+09:00
2437.618813,2439,2439,0.100901732,72.03467278,11748.86412,2187.575571,2176.039481,1875.78,859476.7425,2020-12-01T06:45:43.009+09:00
2437.556931,2439,2439,0.105811558,71.2312055,11733.37771,2184.760014,2171.619533,2131.84,862713.1682,2020-12-01T06:55:23.092+09:00
2437.601238,2439,2439,0.102230403,71.70808495,11753.93993,2192.150012,2181.05058,2265.93,864077.9514,2020-12-01T07:00:43.670+09:00
2437.641114,2439,2439,0.101007362,80.63727645,11698.44594,2197.793011,2196.805522,2338.6,831186.3563,2020-12-01T07:05:33.985+09:00
2437.677003,2439,2439,0.095906626,78.67354881,11730.40135,2195.75271,2193.90897,2167.84,836687.6206,2020-12-01T07:10:22.999+09:00
2437.709303,2439,2439,0.096315964,78.70619393,11723.56121,2183.204439,2189.090073,2145.72,842040.3586,2020-12-01T07:15:42.607+09:00
2437.738372,2439,2439,0.094684367,80.73557454,11668.10509,2213.367995,2215.883065,2457.02,844060.3227,2020-12-01T07:20:34.255+09:00
2437.764535,2439,2439,0.09721593,79.16201708,11775.29458,2202.982196,2208.909759,2146.15,848464.5904,2020-12-01T07:25:24.550+09:00
2437.788082,2439,2439,0.096494337,81.64581537,11843.66512,2211.287976,2220.181783,2321.63,850716.4314,2020-12-01T07:30:45.084+09:00
2437.809273,2439,2439,0.094844904,81.98123384,11829.59861,2196.618178,2202.484605,2043.21,854422.1883,2020-12-01T07:35:35.665+09:00
2437.828346,2439,2439,0.092360413,79.68311045,11667.13875,2190.455361,2193.355144,2111.19,857581.9694,2020-12-01T07:40:27.702+09:00
2437.845512,2439,2439,0.088124372,77.61479941,11673.32488,2197.322825,2204.23263,2302.13,859477.8725,2020-12-01T07:45:49.119+09:00
2437.86096,2439,2439,0.089311935,75.95331947,11669.59239,2186.519542,2181.459367,1976.5,863160.4852,2020-12-01T07:50:39.484+09:00
2437.874864,2439,2439,0.091380741,75.55798752,11757.83315,2173.416588,2171.84143,2085.28,866052.5367,2020-12-01T07:55:29.453+09:00
2437.887378,2439,2439,0.093242667,75.50218877,11890.44983,2187.077929,2176.597287,2219.4,832347.083,2020-12-01T08:05:30.643+09:00
2437.89864,2439,2439,0.0919184,76.95196989,11860.00485,2214.777136,2206.204558,2472.67,835601.2747,2020-12-01T08:10:21.559+09:00
2437.908776,2439,2439,0.09172656,76.8567729,11841.70437,2217.063423,2199.156103,2135.72,839980.3473,2020-12-01T08:20:31.639+09:00
2437.917898,2439,2439,0.089553904,75.27109561,11821.13393,2213.06408,2190.997492,2117.57,844371.5125,2020-12-01T08:25:20.980+09:00
2437.926109,2439,2439,0.085598514,75.54398605,11817.72054,2220.001672,2201.284743,2293.87,848036.3613,2020-12-01T08:30:42.691+09:00
2437.933498,2439,2439,0.086038663,74.48958745,11810.04848,2199.977505,2173.220269,1920.64,852910.0252,2020-12-01T08:35:33.569+09:00
2437.940148,2439,2439,0.084434796,73.3406287,11894.24363,2209.738755,2203.653242,2477.55,854927.6226,2020-12-01T08:40:25.179+09:00
2437.846133,2439,2439,0.086991317,72.30656583,11723.61927,2189.101879,2173.155918,1898.68,860388.0604,2020-12-01T08:45:45.331+09:00
2437.86152,2439,2439,0.085292185,71.57590925,11762.35734,2202.669691,2193.141326,2373.01,862458.2543,2020-12-01T08:50:36.586+09:00
2437.875368,2439,2439,0.084762966,70.51831832,11749.72161,2191.470722,2183.369193,2095.42,864438.9289,2020-12-01T08:55:25.862+09:00
2437.887831,2439,2439,0.08228667,69.56648649,11693.04945,2177.66165,2166.131274,2010.99,831382.936,2020-12-01T09:05:30.331+09:00
2437.799048,2439,2439,0.085058003,69.10983784,11832.1445,2208.688485,2190.961147,2414.43,835322.3424,2020-12-01T09:10:20.765+09:00
2437.719143,2439,2439,0.088552203,68.79885406,11856.83005,2206.403636,2196.414032,2245.49,840316.8082,2020-12-01T09:20:30.590+09:00
2437.747229,2439,2439,0.084696982,68.21896865,11893.84705,2203.088273,2193.229629,2164.57,844519.1274,2020-12-01T09:25:20.127+09:00
2437.772506,2439,2439,0.084227284,68.89707179,11950.56234,2188.770445,2179.944666,2060.38,849261.5146,2020-12-01T09:30:42.609+09:00
2437.795255,2439,2439,0.082804556,68.10736461,11939.90611,2206.379401,2194.236199,2322.86,851125.5632,2020-12-01T09:35:32.325+09:00
2437.61573,2439,2439,0.0945241,70.69662815,11943.8155,2202.481461,2184.960579,2101.48,854226.2068,2020-12-01T09:40:21.705+09:00
2437.654157,2439,2439,0.09707169,73.82696533,11989.63395,2185.018315,2171.482521,2050.18,858637.1862,2020-12-01T09:45:40.237+09:00
2437.688741,2439,2439,0.097364521,72.4442688,11968.17055,2178.428483,2169.543269,2152.09,861776.3675,2020-12-01T09:50:30.267+09:00
2437.719867,2439,2439,0.094628069,71.29984192,11964.7535,2183.800635,2169.125942,2165.37,863545.6308,2020-12-01T09:55:20.766+09:00
2437.84788,2439,2439,0.085165262,70.76985773,12017.07815,2195.925571,2187.126348,2349.13,864552.3677,2020-12-01T10:00:40.480+09:00
2437.963092,2439,2439,0.076648736,79.79287195,11978.97033,2195.566014,2192.751713,2243.38,830712.9309,2020-12-01T10:05:31.000+09:00
2437.966783,2439,2439,0.077983862,78.01358476,12089.4733,2191.527413,2199.136542,2256.6,836219.5378,2020-12-01T10:10:21.915+09:00
2437.770105,2439,2439,0.095185476,79.81222628,12052.22597,2184.198672,2199.494888,2202.72,841775.5841,2020-12-01T10:15:41.704+09:00
2437.793094,2439,2439,0.090666928,77.93100365,12039.80337,2207.632804,2226.914399,2473.69,845390.9257,2020-12-01T10:20:31.653+09:00
2437.913785,2439,2439,0.081600236,76.53790329,12102.42304,2204.210524,2225.872959,2216.5,849309.6331,2020-12-01T10:25:22.066+09:00
2437.622406,2439,2439,0.093440212,74.98411296,12077.08073,2202.789472,2233.675663,2303.9,851759.5698,2020-12-01T10:30:41.629+09:00
2437.760166,2439,2439,0.084096191,74.88570166,12059.37266,2215.432524,2250.076097,2397.68,853929.4128,2020-12-01T10:35:32.306+09:00
