Measurement_boxname,protocol, net_plane,protocol_count,min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,flow_duration,Processing_time
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.392,2020-11-03T16:30:40.595+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.385,2020-11-03T16:30:40.595+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.404,2020-11-03T16:35:31.137+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.402,2020-11-03T16:35:31.137+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.471,2020-11-03T16:40:21.929+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.472,2020-11-03T16:40:21.929+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.454,2020-11-03T16:45:43.004+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.338,2020-11-03T16:45:43.004+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.411,2020-11-03T16:50:33.663+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.448,2020-11-03T16:50:33.663+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.361,2020-11-03T16:55:24.607+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.379,2020-11-03T16:55:24.607+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.566,2020-11-03T17:00:45.672+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.41,2020-11-03T17:00:45.672+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.415,2020-11-03T17:05:35.887+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.511,2020-11-03T17:05:35.887+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.436,2020-11-03T17:10:26.711+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.41,2020-11-03T17:10:26.711+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.417,2020-11-03T17:15:47.785+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.483,2020-11-03T17:15:47.785+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.385,2020-11-03T17:20:38.603+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.438,2020-11-03T17:20:38.603+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.345,2020-11-03T17:25:29.350+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.455,2020-11-03T17:30:20.405+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.499,2020-11-03T17:30:20.405+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.487,2020-11-03T17:35:41.303+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.453,2020-11-03T17:35:41.303+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.454,2020-11-03T17:40:32.031+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.27,68,1412,241.79,349.19,3385,0.415,2020-11-03T17:40:32.031+09:00
smartx-microbox-gist-1,6,0,14,501,502,501,0.36,68,1412,241.79,349.19,3385,0.425,2020-11-03T17:45:22.975+09:00
